id,X,Y,ELEVATION,NAME,FNAME,STATION_TYP,T,SRA,SCE,SCEa,SSV,P,F,RGLB
H2SLAZ01,16.3875,50.1375,401,Slatina nad Zdobnicí,Slatina nad Zdobnicí,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
H2USTI01,16.422222,49.980278,401.7,Ústí nad Orlicí,Ústí nad Orlicí,AMS1,T,SRA,SCE,NA,SSV,P,F,NA
H2ZAMB01,16.45477,50.069195,405,Žamberk,Žamberk,AKS2,T,SRA,SCE,NA,SSV,NA,F,NA
H2ZDOB01,16.408505,50.247678,671,Zdobnice,Zdobnice,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
H3BAHN01,15.234033,49.866846,420,Bahno,Bahno,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
H3BEST01,15.569633,49.829595,333,Běstvina,"Běstvina, Pařížov",MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
H3BROU01,16.343617,50.569966,373,Broumov,Broumov,AKS1,T,SRA,SCE,NA,SSV,NA,F,NA
H3CASL01,15.394281,49.901675,251,Čáslav,"Čáslav, Nové město",AKS3,T,SRA,SCE,NA,NA,NA,NA,NA
H3DOBC01,15.638309,50.143231,275,Dobřenice,Dobřenice,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
H3DYMO01,15.201165,50.248346,208,Dymokury,Dymokury,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
