id,X,Y,ELEVATION,NAME,FNAME,STATION_TYP,T,SRA,SCE,SCEa,SSV,P,F,RGLB
C1BRZKTT,13.4892,48.9547,1154,Březník,"Březník, Hraniční slať",TOTAL,NA,NA,SCE,NA,NA,NA,NA,NA
C1CDVU01,14.2378,48.8514,588,Červený Dvůr,"Červený Dvůr, Chvalšiny",MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C1CERP01,14.1072,48.7356,740,Černá v Pošumaví,Černá v Pošumaví,AKS1,T,SRA,SCE,NA,SSV,NA,F,NA
C1FILH01,13.52,49.03,1110,Filipova Huť,Filipova Huť,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
C1FILHTT,13.5192,49.0294,1112,Filipova Huť,Filipova Huť,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA
C1FRAN01,14.100278,48.9825,726,Frantoly,Frantoly,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C1HKVI01,13.56502,49.053673,1052,Horská Kvilda,Horská Kvilda,AKS3,T,SRA,SCE,NA,NA,NA,NA,NA
C1HLHO01,13.6897,49.3486,445,Horažďovická Lhota,Horažďovická Lhota,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C1HLUB01,14.4356,49.0542,410,Hluboká nad Vltavou,Hluboká nad Vltavou,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
C1HUSI01,13.9883,49.0522,483,Husinec,Husinec,AKS1,T,SRA,SCE,NA,SSV,NA,F,NA
C1CHAN01,13.7194,49.4019,533,Chanovice,Chanovice,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
C1CHEL01,14.169367,49.119265,451,Chelčice,Chelčice,ASS,NA,SRA,NA,NA,NA,NA,NA,NA
C1CHUR01,13.615278,49.068333,1117.8,Churáňov,Churáňov,AMS1,T,SRA,SCE,NA,SSV,P,F,RGLB_D
C1JELE01,13.8897,48.8031,810,Jelení,"Jelení, Nová Pec",ASS,NA,SRA,NA,NA,NA,NA,NA,NA
C1KATO01,13.831944,49.270833,412,Katovice,Katovice,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
C1KEST01,14.0736,49.2681,381,Kestřany,Kestřany,ASS,NA,SRA,SCE,NA,NA,NA,NA,NA
C1KHOR01,13.55,49.145556,728,Kašperské Hory,Kašperské Hory,AKS,T,SRA,SCE,NA,NA,NA,F,NA
C1KHUT01,13.7722,48.9839,1010,Kubova Huť,Kubova Huť,MSS,NA,SRA,SCE,NA,NA,NA,NA,NA
